Name,G
alibaba,53
ipo,19
twitter,11
pic,11
$baba,10
biggest,10
billion,8
record,7
ever,6
ma,6
jack_ma,6
world,5
yahoo,5
$25,5
officially,4
en,4
year,4
shares,4
china,4
breaking,4
group,3
amazon,3
debut,3
public,3
underwriters,3
sold,3
market,3
say,3
dealbook,3
founder,2
gigante,2
startups,2
estreno,2
peng,2
role,2
worth,2
global,2
misconceptions,2
know,2
ibm,2
lucy,2
become,2
view,2
maggie,2
deal,2
fastfact,2
supera,2
ecommerce,2
increase,2
lights,2
wu,2
chino,2
additional,2
last,2
entrepreneurs,2
listings,2
via,2
wall,2
size,2
call,2
offering,2
&amp,2
company,2
wake,2
10,2
handstands,2
us,2
history,2
things,2
setting,2
largest,2
walmart,2
ranks,2
su,2
historic,2
help,1
executive,1
dynamic,1
deliveries,1
list,1
scott,1
shoe,1
go,1
style,1
earned,1
winner,1
reasons,1
version,1
rich,1
east,1
match,1
commerce,1
far,1
big,1
breaks,1
watch,1
celebrates,1
investor,1
day,1
bigger,1
heaven,1
success,1
54%,1
predicted,1
cutler,1
small,1
stock,1
el,1
force,1
clamanoncall,1
sipo,1
fabulous,1
trading,1
examples,1
margins,1
investment,1
happens,1
delivered,1
said,1
network,1
driving,1
movies,1
profit,1
celebrated,1
behind,1
future,1
internet,1
new,1
nyse,1
sliding,1
common,1
$1,1
million,1
stellar,1
claman,1
york,1
key,1
street/,1
active,1
packages,1
businesses,1
overtake,1
talented,1
mega,1
getting,1
could,1
keep,1
sacrificing,1
place,1
analysts,1
retail,1
comes,1
co,1
win,1
fostering,1
powerful,1
two,1
backed,1
americans,1
another,1
fees,1
total,1
fbn,1
wealth,1
duo,1
twenty,1
housing,1
initial,1
seamless,1
$300,1
combined,1
robertson,1
hundred,1
markets,1
war,1
wants,1
released,1
raising,1
women,1
2016,1
double,1
package,1
$18,1
street,1
del,1
three,1
growing,1
meet,1
dollars,1
bet,1
sees,1
look,1
julian,1
share,1
swanky,1
1b,1
want,1
made,1
accounted,1
successful,1
high,1
slammed,1
cashed,1
party,1
isn,1
price,1
tops,1
$yhoo,1
coming,1
stocks,1
sale,1
without,1
chief,1
green,1
official,1
herbalife,1
12,1
nearly,1
