Name,G
alibaba,55
day,39
singles,33
billion,20
sales,19
$9,15
china,11
pic,10
record,10
twitter,10
$baba,8
online,8
company,7
jack_ma,6
ma,6
$8,5
biggest,5
black,5
combined,5
cyber,5
friday,5
monday,5
shopping,5
world,5
merchandise,4
single,4
alipay,3
apple,3
become,3
bigger,3
could,3
gross,3
like,3
made,3
man,3
mobile,3
new,3
pay,3
public,3
reports,3
richest,3
says,3
smashes,3
wallet,3
way,3
bonanza,2
breaking,2
breaks,2
dominated,2
event,2
financial,2
founder,2
great,2
happy,2
hit,2
holiday,2
hour,2
looks,2
makes,2
one,2
pain,2
payment,2
records,2
sectors,2
sells,2
services,2
since,2
state,2
turned,2
value,2
would,2
year,2
60%,1
$7,1
729%,1
11,1
15,1
959,1
11-Nov,1
$2b,1
$404m,1
£4,1
3b,1
4bn,1
absolutely,1
amazon,1
america,1
analysts,1
answer,1
antiquated,1
arm,1
beats,1
best,1
bet,1
brands,1
break,1
bring,1
buy,1
call,1
chart,1
chinas,1
claman,1
clamanoncall,1
co/vqidzd5,1
commerce,1
created,1
customers,1
deals,1
delivery,1
donut,1
dwarfs,1
ecommerce,1
ecosystem,1
english,1
even,1
evolves,1
exceed,1
expand,1
explains,1
far,1
fbn,1
festival,1
first,1
flying,1
focus,1
ford,1
go,1
goods,1
highs,1
history,1
hosted,1
house,1
hug,1
improve,1
including,1
increase,1
inside,1
invented,1
investors,1
last,1
late,1
likely,1
manufactured,1
markets,1
massive,1
mega,1
might,1
nearing,1
nears,1
need,1
notched,1
nov,1
october,1
offering,1
options,1
orders,1
others,1
pass,1
past,1
paypal,1
people,1
placed,1
plan,1
planning,1
platform,1
potential,1
prepares,1
profitable,1
proves,1
push,1
rate,1
reminds,1
retail,1
retailers,1
return,1
rich,1
rings,1
roar,1
said,1
selling,1
setting,1
shatters,1
singlesday,1
sister,1
site,1
smashing,1
sold,1
spectators,1
sprawling,1
st,1
start,1
strong,1
success,1
taken,1
tally,1
tapping,1
target,1
targets,1
thanks,1
things,1
today,1
top,1
topped,1
tops,1
used,1
via,1
wants,1
weirdest,1
widely,1
work,1
worth,1
wrong,1
