Country,IsLDC2014,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,predLDC,Population2012
Denmark,0,-2.214293227,-0.423667009,-1.099756905,0.039131966,0.175794961,-0.31139193,-0.091895446,5597760
Dominica,0,-1.597188072,-0.375759955,0.042025914,0.577732775,-0.307411926,0.486826911,-0.019219217,71684
Dominican Republic,0,-1.168092557,-0.516651018,0.293320509,1.324232551,-0.220813799,-0.041455703,0.00617657,10276621
Ecuador,0,-1.320461387,-0.298560292,0.29001876,1.011810203,-0.202136551,0.162985015,-0.002806731,15492264
El Salvador,0,-1.269117083,-0.591456974,0.18483805,0.516500018,-0.215148041,0.032890299,0.033872275,6297394
Equatorial Guinea,1,1.990495941,-1.107687637,0.601262876,-0.129477538,0.345856911,0.228061794,0.505065719,736296
Ethiopia,1,5.575587064,0.724025631,-0.27295904,1.36165485,0.260059615,-0.840558826,0.828645741,91728849
Eritrea,1,2.855429731,-0.026453444,-0.594586277,-1.995492823,-0.66670396,-0.820653849,0.661725884,6130922
Estonia,0,-1.928172006,-0.345795512,-0.109110375,-0.113075772,-0.001746637,-0.319873415,-0.030273346,1290778
Faeroe Islands,0,-0.108543865,-0.587249799,-0.059169563,-0.664823234,0.059006062,-0.633064375,0.237822703,0
Falkland Islands (Malvinas),0,-0.418192173,-0.328687351,0.036741579,0.303977255,0.135860877,0.24372126,0.144650502,0
Fiji,0,-2.224146521,-0.525926427,0.425765635,2.478806697,-0.250267481,0.692193833,-0.185038384,874742
Finland,0,-2.129638269,-0.593485419,-1.604741928,0.75895323,0.150804384,0.284418709,-0.123191444,5408466
France,0,-2.12386286,1.717174861,1.44906208,-0.259910258,0.151965526,-0.280026384,-0.067279578,65911064
French Guiana,0,0.011400644,-0.770749888,0.526332722,1.218224944,-0.075140605,1.108094193,0.173396484,0
French Polynesia,0,-0.976406302,-0.465021554,-0.065751774,-0.096296711,0.040771164,-0.072975443,0.094635965,273814
Djibouti,1,2.034682907,-0.703221603,-0.130264153,-2.09045126,-0.325559929,-0.809092052,0.586397784,859652
Gabon,0,1.358988415,-1.000540666,0.568491056,0.193900255,-0.058382603,0.044219366,0.404479497,1632572
Georgia,0,-1.730886754,-0.425747658,0.027790842,0.566367658,-0.155304014,-0.416555309,-0.034869518,4358242
Gambia,1,2.28485117,-1.130504385,0.599845581,0.366827725,-0.227839823,-0.405647832,0.518175538,1791225
State of Palestine,0,-1.08657927,-0.700577522,0.169055565,0.019657934,-0.053232346,-0.14929149,0.08478082,4218771
Germany,0,-2.372678607,2.783628029,3.398599515,-0.371171222,0.120099852,-0.095380062,-0.081532719,82800121
Ghana,0,3.268303043,-0.769306315,0.80802287,1.987330569,0.694892521,0.021799454,0.557521136,25366462
Gibraltar,0,0.166176894,-0.558503769,0.069035545,-0.466423692,-0.032620487,-0.443474984,0.264779874,0
Kiribati,1,0.795066905,-0.456252199,0.377880737,-0.141275452,-0.326099984,-0.296224558,0.332455703,100786
Greece,0,-1.736169489,-0.58024319,-2.166456621,0.528149437,0.181116526,-0.010982255,-0.072153148,11124639
Greenland,0,-0.744810423,-0.131466234,0.492040316,0.321361354,0.148897254,0.13213686,0.105924043,56787
Grenada,0,-1.780864636,-0.596320092,0.085817111,0.191176257,-0.264867416,0.141736903,-0.017060378,105483
Guadeloupe,0,-0.427778037,-0.74895318,0.014420882,-0.66896834,0.128845131,-0.665756944,0.202372446,0
Guam,0,-0.679459055,-0.430891057,-0.007687988,0.016928017,0.025981288,0.160068036,0.127283251,0
Guatemala,0,-0.323935037,-0.373664897,-0.056297309,-0.22874318,-0.245542531,-0.504454,0.183033713,15082831
Guinea,1,4.481026569,-1.070707203,0.636578332,-0.40772622,1.072214401,1.27870659,0.838403636,11451273
Guyana,0,-0.133688282,-0.882394843,0.571023096,1.836607006,0.004285083,-0.041881427,0.126966245,795369
Haiti,1,2.684290191,-0.483808132,0.052896848,0.439317743,-0.454991755,-0.649421359,0.539734605,10173775
Honduras,0,-0.2902251,-0.656916308,0.285184879,0.379397625,0.305010423,0.085631622,0.169873516,7935846
"China, Hong Kong Special Administrative Region",0,-1.07377596,-0.332953558,0.033747066,0.231158813,-0.108199989,0.072089191,0.064301624,7148493
Hungary,0,-1.923490165,0.036795517,-0.311148029,-0.444022321,0.006330606,-0.384582806,-0.025934665,9976195
Iceland,0,-1.86417215,-1.012398568,-2.390722152,-0.484555055,0.361278092,-0.879487461,-0.031206606,325867
India,0,4.29280468,13.12774798,-5.777118533,-0.355994022,-1.388922758,-1.137067671,0.348548762,1236686732
Indonesia,0,0.820523812,3.356635812,-1.259853109,-1.735837273,1.39261817,2.115643269,0.293834433,246864191
Iran (Islamic Republic of),0,-0.856202174,0.685550115,-0.437343149,-3.202896464,3.481411202,5.157930211,0.232883146,76424443
Iraq,0,-0.214158519,0.309045348,-0.418494871,-0.474788755,0.184187961,-0.129041269,0.186285427,32778030
Ireland,0,-2.059516931,-0.727242043,-1.757599743,0.744475347,0.141873323,0.243900643,-0.113206707,4575890
Israel,0,-1.800114992,-0.251880855,-0.333410978,-0.812224597,0.126369582,-1.177570619,0.015033867,7643905
Italy,0,-1.8478633,0.878971042,-1.508935055,0.389652881,0.294973724,-0.035611548,-0.101704335,60884593
Cote d'Ivoire,0,5.154560991,-0.794822635,0.729118179,1.582388788,0.229280183,-0.03901798,0.819074563,19839750
